サイト名,タイトル,リンク,公開日
"OpenAI Blog","Introducing GPT-4.1 in the API","[https://openai.com/index/gpt-4-1/","2025-04-14](https://openai.com/index/gpt-4-1/%22,%222025-04-14)"
"OpenAI Blog","Introducing OpenAI o3 and o4-mini","[https://openai.com/index/introducing-o3-and-o4-mini/","2025-04-16](https://openai.com/index/introducing-o3-and-o4-mini/%22,%222025-04-16)"
"OpenAI Blog","Sycophancy in GPT-4o: what happened and what we’re doing about it","[https://openai.com/index/sycophancy-in-gpt-4o/","2025-04-29](https://openai.com/index/sycophancy-in-gpt-4o/%22,%222025-04-29)"
"OpenAI Blog","Expanding on what we missed with sycophancy","[https://openai.com/index/expanding-on-sycophancy/","2025-05-02](https://openai.com/index/expanding-on-sycophancy/%22,%222025-05-02)"
"OpenAI Blog","Evolving OpenAI’s structure","[https://openai.com/index/evolving-our-structure/","2025-05-05](https://openai.com/index/evolving-our-structure/%22,%222025-05-05)"
"Google AI Blog","Teaching machines the language of biology: Scaling large language models for next-generation single-cell analysis","[https://research.google/blog/teaching-machines-the-language-of-biology-scaling-large-language-models-for-next-generation-single-cell-analysis/","2025-04-17](https://research.google/blog/teaching-machines-the-language-of-biology-scaling-large-language-models-for-next-generation-single-cell-analysis/%22,%222025-04-17)"
"Google AI Blog","Evaluating progress of LLMs on scientific problem-solving","[https://research.google/blog/evaluating-progress-of-llms-on-scientific-problem-solving/","2025-04-03](https://research.google/blog/evaluating-progress-of-llms-on-scientific-problem-solving/%22,%222025-04-03)"
"Google AI Blog","ECLeKTic: A novel benchmark for evaluating cross-lingual knowledge transfer in LLMs","[https://research.google/blog/eclektic-a-novel-benchmark-for-evaluating-cross-lingual-knowledge-transfer-in-llms/","2025-04-02](https://research.google/blog/eclektic-a-novel-benchmark-for-evaluating-cross-lingual-knowledge-transfer-in-llms/%22,%222025-04-02)"
"Google Developers Blog","Start building with Gemini 2.5 Flash","[https://developers.googleblog.com/en/start-building-with-gemini-25-flash/","2025-04-17](https://developers.googleblog.com/en/start-building-with-gemini-25-flash/%22,%222025-04-17)"
"Google Developers Blog","Gemma explained: What’s new in Gemma 3","[https://developers.googleblog.com/en/gemma-explained-whats-new-in-gemma-3/","2025-04-30](https://developers.googleblog.com/en/gemma-explained-whats-new-in-gemma-3/%22,%222025-04-30)"
"Google Developers Blog","How It’s Made: Little Language Lessons uses Gemini’s multilingual capabilities to personalize language learning","[https://developers.googleblog.com/en/how-its-made-little-language-lessons-to-personalize-learning/","2025-04-29](https://developers.googleblog.com/en/how-its-made-little-language-lessons-to-personalize-learning/%22,%222025-04-29)"
"Google Developers Blog","Announcing the general availability of Llama 4 MaaS on Vertex AI","[https://developers.googleblog.com/en/llama-4-ga-maas-vertex-ai/","2025-04-29](https://developers.googleblog.com/en/llama-4-ga-maas-vertex-ai/%22,%222025-04-29)"
"Google Developers Blog","Usability and safety updates to Google Auth Platform","[https://developers.googleblog.com/en/usability-and-safety-updates-to-google-auth-platform/","2025-04-28](https://developers.googleblog.com/en/usability-and-safety-updates-to-google-auth-platform/%22,%222025-04-28)"
"Google Developers Blog","Achieve real-time interaction: Build with the Live API","[https://developers.googleblog.com/en/achieve-real-time-interaction-build-with-the-live-api/","2025-04-23](https://developers.googleblog.com/en/achieve-real-time-interaction-build-with-the-live-api/%22,%222025-04-23)"
"Google Developers Blog","Get ready for Google I/O: Program lineup revealed","[https://developers.googleblog.com/en/google-io-program-lineup-revealed/","2025-04-23](https://developers.googleblog.com/en/google-io-program-lineup-revealed/%22,%222025-04-23)"
"Google Developers Blog","Gemini 2.5 Pro Preview: even better coding performance","[https://developers.googleblog.com/en/gemini-2-5-pro-io-improved-coding-performance/","2025-05-06](https://developers.googleblog.com/en/gemini-2-5-pro-io-improved-coding-performance/%22,%222025-05-06)"
"NVIDIA Developer Blog","(該当する記事なし)"," "," "
"IBM Research","Meet Bamba, IBM’s new attention-state space model","[https://research.ibm.com/blog/bamba-ssm-transformer-model","2025-04-29](https://research.ibm.com/blog/bamba-ssm-transformer-model%22,%222025-04-29)"
"IBM Research","IBM and ESA open-source TerraMind, the best performing generative AI model for Earth observation","[https://research.ibm.com/blog/terramind-esa-earth-observation-model","2025-04-22](https://research.ibm.com/blog/terramind-esa-earth-observation-model%22,%222025-04-22)"
"Netflix TechBlog","How Netflix Accurately Attributes eBPF Flow Logs","[https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc","2025-04-08](https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc%22,%222025-04-08)"
"Krebs on Security","Whistleblower: DOGE Siphoned NLRB Case Data","[https://krebsonsecurity.com/2025/04/whistleblower-doge-siphoned-nlrb-case-data/","2025-04-21](https://krebsonsecurity.com/2025/04/whistleblower-doge-siphoned-nlrb-case-data/%22,%222025-04-21)"
"Krebs on Security","Funding Expires for Key Cyber Vulnerability Database","[https://krebsonsecurity.com/2025/04/funding-expires-for-key-cyber-vulnerability-database/","2025-04-15](https://krebsonsecurity.com/2025/04/funding-expires-for-key-cyber-vulnerability-database/%22,%222025-04-15)"
"Krebs on Security","Trump Revenge Tour Targets Cyber Leaders, Elections","[https://krebsonsecurity.com/2025/04/trump-revenge-tour-targets-cyber-leaders-elections/","2025-04-14](https://krebsonsecurity.com/2025/04/trump-revenge-tour-targets-cyber-leaders-elections/%22,%222025-04-14)"
"The Hacker News","Google Releases Android Update to Patch Two Actively Exploited Vulnerabilities","[https://thehackernews.com/2025/04/google-releases-android-update-to-patch.html","2025-04-08](https://thehackernews.com/2025/04/google-releases-android-update-to-patch.html%22,%222025-04-08)"
"The Hacker News","U.S. Govt. Funding for MITRE's CVE Ends April 16, Cybersecurity Community on Alert","[https://thehackernews.com/2025/04/us-govt-funding-for-mitres-cve-ends.html","2025-04-16](https://thehackernews.com/2025/04/us-govt-funding-for-mitres-cve-ends.html%22,%222025-04-16)"
"The Hacker News","159 CVEs Exploited in Q1 2025 — 28.3% Within 24 Hours of Disclosure","[https://thehackernews.com/2025/04/159-cves-exploited-in-q1-2025-283.html","2025-04-24](https://thehackernews.com/2025/04/159-cves-exploited-in-q1-2025-283.html%22,%222025-04-24)"
"TechCrunch","Microsoft’s most capable new Phi 4 AI model rivals the performance of far larger systems","https://techcrunch.com/2025/04/30/microsofts-most-capable-new-phi-4-ai-model-rivals-the-performance-of-far-larger-systems/","2025-04-30"
"Wired","11 Great Apple Deals on MacBooks, iPads, and AirPods","https://www.wired.com/story/apple-deals-april-2025/","2025-04-08"
"Wired","2025 Is the Year of the Humanoid Robot Factory Worker","https://www.wired.com/story/2025-year-of-the-humanoid-robot-factory-worker/","2025-05-01"
"The Verge","Why Nintendo can get away with a $450 Switch 2 price","https://www.theverge.com/games/646776/switch-2-price-editorial-dollar-yen-exchange-rate-inflation","2025-04-11"
"VentureBeat","Meta unleashes Llama API running 18x faster than OpenAI: Cerebras partnership delivers 2,600 tokens per second","https://venturebeat.com/ai/meta-unleashes-llama-api-running-18x-faster-than-openai-cerebras-partnership-delivers-2600-tokens-per-second/","2025-04-29"
"VentureBeat","Meta’s first dedicated AI app is here with Llama 4 — but it’s more consumer than productivity or business oriented","https://venturebeat.com/ai/metas-first-dedicated-ai-app-is-here-with-llama-4-but-its-more-consumer-than-productivity-or-business-oriented/","2025-04-29"
"VentureBeat","Tripp launches Kōkua AI as mental wellness coach across multiple platforms","https://venturebeat.com/games/tripp-launches-kokua-ai-as-mental-wellness-coach-across-multiple-platforms/","2025-04-29"
"VentureBeat","xMEMS extends micro cooling fan-on-a-chip tech to AI data centers","https://venturebeat.com/game-development/xmems-extends-micro-cooling-fan-on-a-chip-tech-to-ai-data-centers/","2025-04-29"
"VentureBeat","Alibaba launches open source Qwen3 model that surpasses OpenAI o1 and DeepSeek R1","https://venturebeat.com/ai/alibaba-launches-open-source-qwen3-model-that-surpasses-openai-o1-and-deepseek-r1/","2025-04-28"
"VentureBeat","Ex-OpenAI CEO and power users sound alarm over AI sycophancy and flattery of users","https://venturebeat.com/ai/ex-openai-ceo-and-power-users-sound-alarm-over-ai-sycophancy-and-flattery-of-users/","2025-04-28"
"VentureBeat","Beyond A2A and MCP: How LOKA’s Universal Agent Identity Layer changes the game","https://venturebeat.com/ai/beyond-a2a-and-mcp-how-lokas-universal-agent-identity-layer-changes-the-game/","2025-04-28"
"VentureBeat","30 seconds vs. 3: The d1 reasoning framework that’s slashing AI response times","https://venturebeat.com/ai/30-seconds-vs-3-the-d1-reasoning-framework-thats-slashing-ai-response-times/","2025-04-28"
"VentureBeat","Writer releases Palmyra X5, delivers near GPT-4.1 performance at 75% lower cost","https://venturebeat.com/ai/writer-releases-palmyra-x5-delivers-near-gpt-4-performance-at-75-lower-cost/","2025-04-28"
"VentureBeat","Does RAG make LLMs less safe?  Bloomberg research reveals hidden dangers","https://venturebeat.com/ai/does-rag-make-llms-less-safe-bloomberg-research-reveals-hidden-dangers/","2025-04-28"
"VentureBeat","Is your AI product actually working? How to develop the right metric system","https://venturebeat.com/ai/is-your-ai-product-actually-working-how-to-develop-the-right-metric-system/","2025-04-27"
"Machine Learning Mastery","The Roadmap for Mastering Machine Learning in 2025","https://machinelearningmastery.com/roadmap-mastering-machine-learning-2025/","2025-04-21"
"KDnuggets","AI Con USA 2025: An Intelligence-Driven Future","https://www.kdnuggets.com/2025/04/techwell/ai-con-usa-2025-an-intelligence-driven-future","2025-04-15"
"AI Plus Info","Brain Neurons Function Like Parallel Computers","https://www.aiplusinfo.com/brain-neurons-function-like-parallel-computers/","2025-04-30"
"AI Plus Info","ChatGPT Unveils New Shopping and Search Features","https://www.aiplusinfo.com/chatgpt-unveils-new-shopping-and-search-features/","2025-04-29"
"AI Plus Info","AI Leaders vs. Laggards: Key Differences Revealed","https://www.aiplusinfo.com/ai-leaders-vs-laggards-key-differences-revealed/","2025-04-29"
"AI Plus Info","Duolingo Shifts from Contract Workers to AI","https://www.aiplusinfo.com/duolingo-shifts-from-contract-workers-to-ai/","2025-04-29"
"AI Plus Info","Key Traits of Successful AI Leaders","https://www.aiplusinfo.com/key-traits-of-successful-ai-leaders/","2025-04-28"
"AI Plus Info","Columbia Student’s Cheating Tool Raises $5.3M","https://www.aiplusinfo.com/columbia-students-cheating-tool-raises-5-3m/","2025-04-27"
"AI Plus Info","AI Creates Innovative Tools to Explore Cosmos","https://www.aiplusinfo.com/ai-creates-innovative-tools-to-explore-cosmos/","2025-04-26"
"AI Plus Info","Full Economic Automation: AI Job Threats","https://www.aiplusinfo.com/full-economic-automation-ai-job-threats/","2025-04-25"
